termId;label
rivet;Rivet
rod;Rod
rod gauge;Rod gauge
rotables;Rotables
rotary;Rotary
rubber;Rubber
rudder;Rudder
rust;Rust
sampling;Sampling
scavenge;Scavenge
scope;Scope
scrapping;Scrapping
scraps;Scraps
scratch;Scratch
screw;Screw
scuff;Scuff
seal;Seal
seal up;Seal up
sealant;Sealant
sealed;Sealed
sealer;Sealer
sealing;Sealing
seat back recline;Seat back recline
seat bumper;Seat bumper
seat bumper;Seat bumper
seat truck;Seat truck
seat workshop;Seat workshop
sequence;Sequence
service door;Service door
shades;Shades
shaft;Shaft
sheet metal;Sheet metal
sheet metal worker;Sheet metal worker
shift leader;Shift leader
shipment;Shipment
shipped;Shipped
shoring;Shoring
shroud;Shroud
signed;Signed
skin;Skin
slat;Slat
sleeve;Sleeve
slotted nuts;Slotted nuts
spare;Spare
spatula;Spatula
spinner;Spinner
spinning;Spinning
splice;Splice
spoilers;Spoilers
spreaded;Spreaded
spring;Spring
stab;Stab
stabilizer;Stabilizer
stain;Stain
stainig with;Stainig with
standby;Standby
steering;Steering
stencils;Stencils
sticker;Sticker
stiffener;Stiffener
stowage;Stowage
stowed;Stowed
stringer;Stringer
strut;Strut
stud;Stud
suction;Suction
summary sheets;Summary sheets
support beam;Support beam
surge tank;Surge tank
swivel;Swivel
tail cone;Tail cone
tail skid;Tail skid
taxiing;Taxiing
template;Template
tension;Tension
thickness;Thickness
thinner;Thinner
threaded;Threaded
thrust;Thrust
thrust reverser;Thrust reverser
tighten;Tighten
tinsmith;Tinsmith
tire;Tire
to provide with;To provide with
torque;Torque
touch up;Touch up
touch up;Touch up
towing;Towing
towing lever;Towing lever
trailing edge;Trailing edge
transducer;Transducer
translating;Translating
trim;Trim
trim;Trim
trimable;Trimable
trimmable;Trimmable
trimmable;Trimmable
trunnion;Trunnion
ultrasonic;Ultrasonic
ultrasound;Ultrasound
update;Update
upholsterer;Upholsterer
upholstery;Upholstery
utilization;Utilization
valve;Valve
vapor;Vapor
velocity;Velocity
venting;Venting
walk around check;Walk around check
washer;Washer
washer;Washer
web;Web
wedge;Wedge
welder;Welder
wheel chock;Wheel chock
wheel well;Wheel well
whitesmith;Whitesmith
whitesmith;Whitesmith
wing flap;Wing flap
wire bundles;Wire bundles
wiring;Wiring
wiring;Wiring
workflow;Workflow
workshop;Workshop
worn;Worn
wrench;Wrench
wrinkled;Wrinkled
zoning;Zoning
accomplishment;Accomplishment
proposal;Proposal
disposal;Disposal
switch;Switch
exciter;Exciter
spark;Spark
adverse;Adverse
crank;Crank
applicable;Applicable
troubleshooting;Troubleshooting
weld;Weld
tune;Tune
solder;Solder
rub;Rub
grind;Grind
disengage;Disengage
align;Align
fixtures;Fixtures
aligned;Aligned
drag;Drag
stay;Stay
intercostal;Intercostal
nil;Nil
degrease;Degrease
countersink;Countersink
clip;Clip
pin;Pin
platform;Platform
hose;Hose
gageous;Gageous
diluted;Diluted
pedestal;Pedestal
trim;Trim
injector;Injector
transition;Transition
conduits;Conduits
lanyard;Lanyard
cap;Cap
actuator;Actuator
plunger;Plunger
alignment;Alignment
damping;Damping
stucked;Stucked
detent;Detent
transducer;Transducer
vent;Vent
clank;Clank
gearbox;Gearbox
mat;Mat
aperture;Aperture
spigot;Spigot
hinge;Hinge
support;Support
stain;Stain
stainless;Stainless
discard;Discard
cylinder;Cylinder
rigging;Rigging
fibre;Fibre
windshield;Windshield
flange;Flange
bulkhead;Bulkhead
inlet;Inlet
blower;Blower
lighting;Lighting
lightning;Lightning
fittings;Fittings
vane;Vane
swirl;Swirl
circumferential;Circumferential
concave;Concave
nitrogen;Nitrogen
inhibition;Inhibition
baulk;Baulk
pintle;Pintle
pin;Pin
filler;Filler
refill;Refill
mount;Mount
lip;Lip
abradable;Abradable
longitudinal;Longitudinal
framework;Framework
cannibalization;Cannibalization
tire;Tire
loose;Loose
deflate;Deflate
engaged;Engaged
outlet;Outlet
scan light;Scan light
latch;Latch
score;Score
inflate;Inflate
adjust;Adjust
tong;Tong
uneven;Uneven
tread;Tread
diameter;Diameter
susceptible;Susceptible
casing;Casing
groove;Groove
retread;Retread
cord;Cord
wrinkle;Wrinkle
depth;Depth
purchasing;Purchasing
gromet;Gromet
gouge;Gouge
nick;Nick
sensor;Sensor
pulley;Pulley
track;Track
seattrack;Seattrack
angle;Angle
threat;Threat
hilock;Hilock
hilok;Hilok
strip;Strip
strap;Strap
trim;Trim
doubler;Doubler
cable;Cable
lipskin;Lipskin
cone;Cone
dovetail;Dovetail
strike;Strike
lightning strike;Lightning strike
rupture;Rupture
chip;Chip
connector;Connector
cover;Cover
rodend;Rodend
link;Link
frame;Frame
doorstop;Doorstop
cutout;Cutout
blanket;Blanket
insulation;Insulation
harness;Harness
floorpanel;Floorpanel
panel;Panel
sidewall;Sidewall
dado;Dado
ceiling panel;Ceiling panel
lense;Lense
EE;EE
Emergency exit;Emergency exit
rear cone;Rear cone
spinner front cone;Spinner front cone
splitter fairing;Splitter fairing
edge;Edge
spoiler;Spoiler
wing to body;Wing to body
winglet;Winglet
scimitar;Scimitar
antenna;Antenna
dorsal;Dorsal
vhf;Vhf
hf;Hf
unit;Unit
LRU;LRU
balance panel;Balance panel
discharger;Discharger
conductive strip;Conductive strip
acoustic panel;Acoustic panel
OGV;OGV
FAN;FAN
vapour;Vapour
vapour barrier;Vapour barrier
coupling;Coupling
krueger flap;Krueger flap
flap;Flap
track;Track
program track;Program track
wedge;Wedge
delamination;Delamination
heat damage;Heat damage
bearing;Bearing
bushing;Bushing
pitot;Pitot
static;Static
port;Port
probe;Probe
door;Door
wear seat;Wear seat
headrest;Headrest
backrest;Backrest
attendant;Attendant
crew;Crew
light;Light
lifevest;Lifevest
ELT;ELT
