WP	WO	TC	sequence	scope	est-min
OE-IPS/H-21 12Y+6Y+LDG		53-864-00-01	1	SHM	1.600000
OE-IPS/H-21 12Y+6Y+LDG		53-866-00-01	1	MECH-INT	1.050000
OE-IPS/H-21 12Y+6Y+LDG		53-870-00-01	1	MECH-INT	0.550000
OE-IPS/H-21 12Y+6Y+LDG		53-872-00-01	1	MECH-INT	0.550000
OE-IPS/H-21 12Y+6Y+LDG		53-874-00-01	1	SHM	1.600000
OE-IPS/H-21 12Y+6Y+LDG		53-876-00-01	1	MECH-INT	2.150000
OE-IPS/H-21 12Y+6Y+LDG		53-880-00-01	1	MECH-INT	6.400000
OE-IPS/H-21 12Y+6Y+LDG		53-882-00-01	1	SHM	0.916666
OE-IPS/H-21 12Y+6Y+LDG		53-882-00-01	2	SHM	0.683333
OE-IPS/H-21 12Y+6Y+LDG		53-884-00-01	1	MECH-INT	0.916666
OE-IPS/H-21 12Y+6Y+LDG		53-884-00-01	2	MECH-INT	0.683333
OE-IPS/H-21 12Y+6Y+LDG		53-888-00-01	1	MECH-INT	3.500000
OE-IPS/H-21 12Y+6Y+LDG		53-888-00-01	2	MECH-INT	4.500000
OE-IPS/H-21 12Y+6Y+LDG		53-890-00-01	1	MECH-INT	0.550000
OE-IPS/H-21 12Y+6Y+LDG		53-892-00-01	1	MECH-INT	0.550000
OE-IPS/H-21 12Y+6Y+LDG		53-894-00-01	1	SHM	0.250000
OE-IPS/H-21 12Y+6Y+LDG		53-896-00-01	1	MECH-EXT	1.000000
OE-IPS/H-21 12Y+6Y+LDG		53-898-00-01	1	MECH-EXT	0.500000
OE-IPS/H-21 12Y+6Y+LDG		53-900-00-01	1	MECH-ENG	1.500000
OE-IPS/H-21 12Y+6Y+LDG		53-902-00-01	1	MECH-EXT	0.500000
OE-IPS/H-21 12Y+6Y+LDG		53-904-01-01	1	MECH-EXT	0.500000
OE-IPS/H-21 12Y+6Y+LDG		53-906-02-01	1	MECH-EXT	0.500000
OE-IPS/H-21 12Y+6Y+LDG		54-010-01-01	1	MECH-ENG	0.500000
OE-IPS/H-21 12Y+6Y+LDG		54-010-02-01	1	MECH-ENG	0.500000
OE-IPS/H-21 12Y+6Y+LDG		54-030-01-01	1	MECH-ENG	1.000000
OE-IPS/H-21 12Y+6Y+LDG		54-030-02-01	1	MECH-ENG	1.000000
OE-IPS/H-21 12Y+6Y+LDG		54-040-01-01	1	MECH-ENG	1.600000
OE-IPS/H-21 12Y+6Y+LDG		54-040-02-01	1	MECH-ENG	1.600000
OE-IPS/H-21 12Y+6Y+LDG		54-050-01-01	1	MECH-ENG	3.200000
OE-IPS/H-21 12Y+6Y+LDG		54-050-02-01	1	MECH-ENG	3.200000
OE-IPS/H-21 12Y+6Y+LDG		54-800-01-01	1	MECH-ENG	1.000000
OE-IPS/H-21 12Y+6Y+LDG		54-802-01-01	1	MECH-ENG	1.000000
OE-IPS/H-21 12Y+6Y+LDG		54-804-01-01	1	MECH-ENG	0.550000
OE-IPS/H-21 12Y+6Y+LDG		54-806-01-01	1	MECH-ENG	1.000000
OE-IPS/H-21 12Y+6Y+LDG		54-808-02-01	1	MECH-ENG	1.000000
OE-IPS/H-21 12Y+6Y+LDG		54-810-02-01	1	MECH-ENG	1.000000
OE-IPS/H-21 12Y+6Y+LDG		54-812-02-01	1	MECH-ENG	0.550000
OE-IPS/H-21 12Y+6Y+LDG		54-814-02-01	1	MECH-ENG	1.000000
OE-IPS/H-21 12Y+6Y+LDG		55-010-00-01	1	MECH-EXT	2.000000
OE-IPS/H-21 12Y+6Y+LDG		55-020-00-01	1	MECH-EXT	2.000000
OE-IPS/H-21 12Y+6Y+LDG		55-030-00-01	1	MECH-EXT	2.000000
OE-IPS/H-21 12Y+6Y+LDG		55-050-00-01	1	MECH-EXT	2.000000
OE-IPS/H-21 12Y+6Y+LDG		55-060-00-01	1	MECH-EXT	3.000000
OE-IPS/H-21 12Y+6Y+LDG		55-070-01-01	1	MECH-EXT	4.000000
OE-IPS/H-21 12Y+6Y+LDG		55-070-02-01	1	MECH-EXT	4.000000
OE-IPS/H-21 12Y+6Y+LDG		55-100-01-01	1	MECH-EXT	5.500000
OE-IPS/H-21 12Y+6Y+LDG		55-100-02-01	1	MECH-EXT	5.500000
OE-IPS/H-21 12Y+6Y+LDG		55-110-01-01	1	MECH-EXT	5.500000
OE-IPS/H-21 12Y+6Y+LDG		55-110-02-01	1	MECH-EXT	5.500000
OE-IPS/H-21 12Y+6Y+LDG		55-115-01-01	1	MECH-EXT	2.000000
OE-IPS/H-21 12Y+6Y+LDG		55-115-02-01	1	MECH-EXT	2.000000
OE-IPS/H-21 12Y+6Y+LDG		55-130-00-01	1	MECH-EXT	15.000000
OE-IPS/H-21 12Y+6Y+LDG		55-800-00-01	1	MECH-EXT	0.316666
OE-IPS/H-21 12Y+6Y+LDG		55-802-00-01	1	MECH-EXT	0.500000
OE-IPS/H-21 12Y+6Y+LDG		55-804-00-01	1	MECH-EXT	0.500000
OE-IPS/H-21 12Y+6Y+LDG		55-806-00-01	1	MECH-EXT	1.000000
OE-IPS/H-21 12Y+6Y+LDG		55-808-00-01	1	MECH-EXT	1.000000
OE-IPS/H-21 12Y+6Y+LDG		55-810-00-01	1	MECH-EXT	1.000000
OE-IPS/H-21 12Y+6Y+LDG		55-814-00-01	1	MECH-EXT	1.000000
OE-IPS/H-21 12Y+6Y+LDG		55-816-00-01	1	MECH-EXT	0.500000
OE-IPS/H-21 12Y+6Y+LDG		55-820-00-01	1	MECH-EXT	0.500000
OE-IPS/H-21 12Y+6Y+LDG		55-822-01-01	1	MECH-EXT	0.500000
OE-IPS/H-21 12Y+6Y+LDG		55-824-01-01	1	MECH-EXT	1.000000
OE-IPS/H-21 12Y+6Y+LDG		55-826-01-01	1	MECH-EXT	0.500000
OE-IPS/H-21 12Y+6Y+LDG		55-828-01-01	1	MECH-EXT	1.500000
OE-IPS/H-21 12Y+6Y+LDG		55-830-01-01	1	MECH-EXT	0.500000
OE-IPS/H-21 12Y+6Y+LDG		55-832-01-01	1	MECH-EXT	1.000000
OE-IPS/H-21 12Y+6Y+LDG		55-834-01-01	1	MECH-EXT	0.500000
OE-IPS/H-21 12Y+6Y+LDG		55-836-02-01	1	MECH-EXT	0.500000
OE-IPS/H-21 12Y+6Y+LDG		55-838-02-01	1	MECH-EXT	1.000000
OE-IPS/H-21 12Y+6Y+LDG		55-840-02-01	1	MECH-EXT	0.500000
OE-IPS/H-21 12Y+6Y+LDG		55-842-02-01	1	MECH-EXT	1.500000
OE-IPS/H-21 12Y+6Y+LDG		55-844-02-01	1	MECH-EXT	0.500000
OE-IPS/H-21 12Y+6Y+LDG		55-846-02-01	1	MECH-EXT	1.000000
OE-IPS/H-21 12Y+6Y+LDG		55-848-02-01	1	MECH-EXT	0.500000
OE-IPS/H-21 12Y+6Y+LDG		56-010-00-01	1	MECH-INT	5.000000
OE-IPS/H-21 12Y+6Y+LDG		56-030-00-01	1	MECH-INT	0.800000
OE-IPS/H-21 12Y+6Y+LDG		56-050-00-01	1	MECH-INT	0.800000
OE-IPS/H-21 12Y+6Y+LDG		57-030-00-01	1	MECH-EXT	3.000000
OE-IPS/H-21 12Y+6Y+LDG		57-040-00-01	1	MECH-EXT	2.000000
OE-IPS/H-21 12Y+6Y+LDG		57-050-00-01	1	MECH-EXT	2.500000
OE-IPS/H-21 12Y+6Y+LDG		57-060-01-01	1	MECH-EXT	1.500000
OE-IPS/H-21 12Y+6Y+LDG		57-060-02-01	1	MECH-EXT	1.500000
OE-IPS/H-21 12Y+6Y+LDG		57-100-01-01	1	MECH-ENG	1.283333
OE-IPS/H-21 12Y+6Y+LDG		57-100-02-01	1	MECH-ENG	1.283333
OE-IPS/H-21 12Y+6Y+LDG		57-110-01-01	1	MECH-ENG	0.316666
OE-IPS/H-21 12Y+6Y+LDG		57-110-02-01	1	MECH-ENG	0.700000
OE-IPS/H-21 12Y+6Y+LDG		57-120-01-01	1	MECH-EXT	4.000000
OE-IPS/H-21 12Y+6Y+LDG		57-120-02-01	1	MECH-EXT	4.000000
OE-IPS/H-21 12Y+6Y+LDG		57-140-01-01	1	MECH-EXT	1.500000
OE-IPS/H-21 12Y+6Y+LDG		57-140-02-01	1	MECH-EXT	1.500000
OE-IPS/H-21 12Y+6Y+LDG		57-160-01-01	1	MECH-EXT	3.000000
OE-IPS/H-21 12Y+6Y+LDG		57-160-01-01	2	MECH-EXT	2.000000
OE-IPS/H-21 12Y+6Y+LDG		57-160-02-01	1	MECH-EXT	3.000000
OE-IPS/H-21 12Y+6Y+LDG		57-160-02-01	2	MECH-EXT	2.000000
OE-IPS/H-21 12Y+6Y+LDG		57-200-01-01	1	MECH-EXT	1.000000
OE-IPS/H-21 12Y+6Y+LDG		57-200-02-01	1	MECH-EXT	1.000000
OE-IPS/H-21 12Y+6Y+LDG		57-210-01-01	1	MECH-EXT	1.000000
OE-IPS/H-21 12Y+6Y+LDG		57-210-02-01	1	MECH-EXT	1.000000
OE-IPS/H-21 12Y+6Y+LDG		57-220-01-01	1	MECH-EXT	0.500000
OE-IPS/H-21 12Y+6Y+LDG		57-220-02-01	1	MECH-EXT	0.500000
OE-IPS/H-21 12Y+6Y+LDG		57-230-01-01	1	MECH-EXT	1.000000
OE-IPS/H-21 12Y+6Y+LDG		57-230-02-01	1	MECH-EXT	1.000000
OE-IPS/H-21 12Y+6Y+LDG		57-240-01-01	1	MECH-EXT	0.500000
OE-IPS/H-21 12Y+6Y+LDG		57-240-02-01	1	MECH-EXT	0.500000
OE-IPS/H-21 12Y+6Y+LDG		57-250-01-01	1	MECH-LDG	2.000000
OE-IPS/H-21 12Y+6Y+LDG		57-250-02-01	1	MECH-LDG	2.000000
OE-IPS/H-21 12Y+6Y+LDG		57-260-01-01	1	MECH-LDG	2.000000
OE-IPS/H-21 12Y+6Y+LDG		57-260-02-01	1	MECH-LDG	2.000000
OE-IPS/H-21 12Y+6Y+LDG		57-310-01-01	1	MECH-EXT	3.000000
OE-IPS/H-21 12Y+6Y+LDG		57-310-02-01	1	MECH-EXT	3.000000
OE-IPS/H-21 12Y+6Y+LDG		57-340-01-01	1	MECH-EXT	1.500000
OE-IPS/H-21 12Y+6Y+LDG		57-340-02-01	1	MECH-EXT	1.500000
OE-IPS/H-21 12Y+6Y+LDG		57-802-01-01	1	MECH-EXT	0.166666
OE-IPS/H-21 12Y+6Y+LDG		57-802-01-01	2	MECH-EXT	0.166666
OE-IPS/H-21 12Y+6Y+LDG		57-802-01-01	3	MECH-EXT	0.166666
OE-IPS/H-21 12Y+6Y+LDG		57-804-01-01	1	MECH-EXT	0.500000
OE-IPS/H-21 12Y+6Y+LDG		57-806-01-01	1	MECH-EXT	1.000000
OE-IPS/H-21 12Y+6Y+LDG		57-808-01-01	1	MECH-EXT	1.000000
OE-IPS/H-21 12Y+6Y+LDG		57-810-01-01	1	MECH-EXT	1.000000
OE-IPS/H-21 12Y+6Y+LDG		57-812-01-01	1	MECH-EXT	2.000000
OE-IPS/H-21 12Y+6Y+LDG		57-814-01-01	1	MECH-EXT	3.000000
OE-IPS/H-21 12Y+6Y+LDG		57-816-01-01	1	MECH-EXT	1.500000
OE-IPS/H-21 12Y+6Y+LDG		57-824-01-01	1	MECH-EXT	0.500000
OE-IPS/H-21 12Y+6Y+LDG		57-828-01-01	1	MECH-EXT	1.000000
OE-IPS/H-21 12Y+6Y+LDG		57-832-01-01	1	MECH-EXT	0.500000
OE-IPS/H-21 12Y+6Y+LDG		57-834-01-01	1	MECH-EXT	0.500000
OE-IPS/H-21 12Y+6Y+LDG		57-836-01-01	1	MECH-EXT	1.000000
OE-IPS/H-21 12Y+6Y+LDG		57-838-01-01	1	MECH-EXT	1.000000
OE-IPS/H-21 12Y+6Y+LDG		57-840-01-01	1	MECH-EXT	1.000000
OE-IPS/H-21 12Y+6Y+LDG		57-842-01-01	1	MECH-EXT	1.000000
OE-IPS/H-21 12Y+6Y+LDG		57-844-01-01	1	MECH-EXT	1.000000
OE-IPS/H-21 12Y+6Y+LDG		57-846-01-01	1	MECH-EXT	1.000000
OE-IPS/H-21 12Y+6Y+LDG		57-848-01-01	1	MECH-LDG	0.500000
OE-IPS/H-21 12Y+6Y+LDG		57-850-01-01	1	MECH-LDG	2.000000
OE-IPS/H-21 12Y+6Y+LDG		57-852-01-01	1	MECH-EXT	0.500000
OE-IPS/H-21 12Y+6Y+LDG		57-854-01-01	1	MECH-EXT	1.000000
OE-IPS/H-21 12Y+6Y+LDG		57-856-01-01	1	MECH-EXT	0.500000
OE-IPS/H-21 12Y+6Y+LDG		57-858-01-01	1	MECH-EXT	0.500000
OE-IPS/H-21 12Y+6Y+LDG		57-860-01-01	1	MECH-EXT	1.000000
OE-IPS/H-21 12Y+6Y+LDG		57-862-01-01	1	MECH-EXT	1.000000
OE-IPS/H-21 12Y+6Y+LDG		57-864-01-01	1	MECH-EXT	0.500000
OE-IPS/H-21 12Y+6Y+LDG		57-868-01-01	1	MECH-EXT	0.500000
OE-IPS/H-21 12Y+6Y+LDG		57-870-01-01	1	MECH-EXT	0.500000
OE-IPS/H-21 12Y+6Y+LDG		57-872-02-01	1	MECH-EXT	0.333333
OE-IPS/H-21 12Y+6Y+LDG		57-872-02-01	2	MECH-EXT	0.333333
OE-IPS/H-21 12Y+6Y+LDG		57-872-02-01	3	MECH-EXT	0.333333
OE-IPS/H-21 12Y+6Y+LDG		57-874-02-01	1	MECH-EXT	0.500000
OE-IPS/H-21 12Y+6Y+LDG		57-876-02-01	1	MECH-EXT	1.000000
OE-IPS/H-21 12Y+6Y+LDG		57-878-02-01	1	MECH-EXT	1.000000
OE-IPS/H-21 12Y+6Y+LDG		57-880-02-01	1	MECH-EXT	1.000000
OE-IPS/H-21 12Y+6Y+LDG		57-882-02-01	1	MECH-EXT	2.000000
OE-IPS/H-21 12Y+6Y+LDG		57-884-02-01	1	MECH-EXT	3.000000
OE-IPS/H-21 12Y+6Y+LDG		57-886-02-01	1	MECH-EXT	1.500000
OE-IPS/H-21 12Y+6Y+LDG		57-894-02-01	1	MECH-EXT	0.500000
OE-IPS/H-21 12Y+6Y+LDG		57-898-02-01	1	MECH-EXT	1.000000
OE-IPS/H-21 12Y+6Y+LDG		57-902-02-01	1	MECH-EXT	0.500000
OE-IPS/H-21 12Y+6Y+LDG		57-904-02-01	1	MECH-EXT	0.500000
OE-IPS/H-21 12Y+6Y+LDG		57-906-02-01	1	MECH-EXT	1.000000
OE-IPS/H-21 12Y+6Y+LDG		57-908-02-01	1	MECH-EXT	1.000000
OE-IPS/H-21 12Y+6Y+LDG		57-910-02-01	1	MECH-EXT	1.000000
OE-IPS/H-21 12Y+6Y+LDG		57-912-02-01	1	MECH-EXT	1.000000
OE-IPS/H-21 12Y+6Y+LDG		57-914-02-01	1	MECH-EXT	1.000000
OE-IPS/H-21 12Y+6Y+LDG		57-916-02-01	1	MECH-EXT	1.000000
OE-IPS/H-21 12Y+6Y+LDG		57-918-02-01	1	MECH-LDG	0.500000
OE-IPS/H-21 12Y+6Y+LDG		57-920-02-01	1	MECH-LDG	2.000000
OE-IPS/H-21 12Y+6Y+LDG		57-922-02-01	1	MECH-EXT	0.500000
OE-IPS/H-21 12Y+6Y+LDG		57-924-02-01	1	MECH-EXT	1.000000
OE-IPS/H-21 12Y+6Y+LDG		57-926-02-01	1	MECH-EXT	0.500000
OE-IPS/H-21 12Y+6Y+LDG		57-928-02-01	1	MECH-EXT	0.500000
OE-IPS/H-21 12Y+6Y+LDG		57-930-02-01	1	MECH-EXT	1.000000
OE-IPS/H-21 12Y+6Y+LDG		57-932-02-01	1	MECH-EXT	1.000000
OE-IPS/H-21 12Y+6Y+LDG		57-934-02-01	1	MECH-EXT	0.500000
OE-IPS/H-21 12Y+6Y+LDG		57-938-02-01	1	MECH-EXT	0.500000
OE-IPS/H-21 12Y+6Y+LDG		57-940-02-01	1	MECH-EXT	0.500000
OE-IPS/H-21 12Y+6Y+LDG		57-950-01-01	1	MECH-EXT	1.000000
OE-IPS/H-21 12Y+6Y+LDG		57-952-01-01	1	MECH-EXT	1.000000
OE-IPS/H-21 12Y+6Y+LDG		57-960-02-01	1	MECH-EXT	1.000000
OE-IPS/H-21 12Y+6Y+LDG		57-962-02-01	1	MECH-EXT	1.000000
OE-IPS/H-21 12Y+6Y+LDG		70-800-01-01	1	MECH-ENG	0.316666
OE-IPS/H-21 12Y+6Y+LDG		70-802-01-01	1	MECH-ENG	1.500000
OE-IPS/H-21 12Y+6Y+LDG		70-804-01-01	1	MECH-ENG	0.800000
OE-IPS/H-21 12Y+6Y+LDG		70-806-01-01	1	MECH-ENG	0.700000
OE-IPS/H-21 12Y+6Y+LDG		70-808-01-01	1	MECH-ENG	0.700000
OE-IPS/H-21 12Y+6Y+LDG		70-810-02-01	1	MECH-ENG	0.300000
OE-IPS/H-21 12Y+6Y+LDG		70-812-02-01	1	MECH-ENG	1.500000
OE-IPS/H-21 12Y+6Y+LDG		70-814-02-01	1	MECH-ENG	1.000000
OE-IPS/H-21 12Y+6Y+LDG		70-816-02-01	1	MECH-ENG	1.000000
OE-IPS/H-21 12Y+6Y+LDG		70-818-02-01	1	MECH-ENG	1.000000
OE-IPS/H-21 12Y+6Y+LDG		71-010-01-01	1	MECH-ENG	1.500000
OE-IPS/H-21 12Y+6Y+LDG		71-010-02-01	1	MECH-ENG	1.500000
OE-IPS/H-21 12Y+6Y+LDG		71-040-01-01	1	MECH-ENG	3.500000
OE-IPS/H-21 12Y+6Y+LDG		71-040-01-01	2	MECH-ENG	0.500000
OE-IPS/H-21 12Y+6Y+LDG		71-040-02-01	1	MECH-ENG	3.500000
OE-IPS/H-21 12Y+6Y+LDG		71-040-02-01	2	MECH-ENG	0.500000
OE-IPS/H-21 12Y+6Y+LDG		72-020-01-01	1	MECH-ENG	1.500000
OE-IPS/H-21 12Y+6Y+LDG		72-020-02-01	1	MECH-ENG	1.500000
OE-IPS/H-21 12Y+6Y+LDG		72-025-01-01	1	MECH-ENG	30.000000
OE-IPS/H-21 12Y+6Y+LDG		72-025-02-01	1	MECH-ENG	30.000000
OE-IPS/H-21 12Y+6Y+LDG		72-180-01-01	1	NDT	3.200000
OE-IPS/H-21 12Y+6Y+LDG		72-180-02-01	1	NDT	3.200000
OE-IPS/H-21 12Y+6Y+LDG		72-200-01-02	1	NDT	6.400000
OE-IPS/H-21 12Y+6Y+LDG		72-200-02-02	1	NDT	6.400000
OE-IPS/H-21 12Y+6Y+LDG		72-210-01-01	1	NDT	1.600000
OE-IPS/H-21 12Y+6Y+LDG		72-210-02-01	1	NDT	1.600000
OE-IPS/H-21 12Y+6Y+LDG		72-320-01-01	1	MECH-ENG	3.000000
OE-IPS/H-21 12Y+6Y+LDG		72-320-01-01	2	MECH-ENG	0.500000
OE-IPS/H-21 12Y+6Y+LDG		72-320-02-01	1	MECH-ENG	3.000000
OE-IPS/H-21 12Y+6Y+LDG		72-320-02-01	2	MECH-ENG	0.500000
OE-IPS/H-21 12Y+6Y+LDG		73-010-01-01	1	MECH-ENG	1.000000
OE-IPS/H-21 12Y+6Y+LDG		73-010-01-01	2	MECH-ENG	0.500000
OE-IPS/H-21 12Y+6Y+LDG		73-010-02-01	1	MECH-ENG	1.000000
OE-IPS/H-21 12Y+6Y+LDG		73-010-02-01	2	MECH-ENG	0.500000
OE-IPS/H-21 12Y+6Y+LDG		73-020-01-01	1	MECH-ENG	0.250000
OE-IPS/H-21 12Y+6Y+LDG		73-020-02-01	1	MECH-ENG	0.250000
OE-IPS/H-21 12Y+6Y+LDG		74-020-01-01	1	MECH-ENG	1.000000
OE-IPS/H-21 12Y+6Y+LDG		74-020-01-01	2	MECH-ENG	0.016666
OE-IPS/H-21 12Y+6Y+LDG		74-020-02-01	1	MECH-ENG	1.000000
OE-IPS/H-21 12Y+6Y+LDG		74-020-02-01	2	MECH-ENG	0.016666
OE-IPS/H-21 12Y+6Y+LDG		78-060-01-01	1	MECH-ENG	4.000000
OE-IPS/H-21 12Y+6Y+LDG		78-060-01-01	2	MECH-ENG	0.016666
OE-IPS/H-21 12Y+6Y+LDG		78-060-02-01	1	MECH-ENG	4.000000
OE-IPS/H-21 12Y+6Y+LDG		78-060-02-01	2	MECH-ENG	0.016666
OE-IPS/H-21 12Y+6Y+LDG		78-070-01-01	1	MECH-ENG	2.000000
OE-IPS/H-21 12Y+6Y+LDG		78-070-02-01	1	MECH-ENG	2.000000
OE-IPS/H-21 12Y+6Y+LDG		78-100-01-01	1	MECH-ENG	1.000000
OE-IPS/H-21 12Y+6Y+LDG		78-100-02-01	1	MECH-ENG	1.000000
OE-IPS/H-21 12Y+6Y+LDG		78-110-01-01	1	MECH-ENG	1.000000
OE-IPS/H-21 12Y+6Y+LDG		78-110-02-01	1	MECH-ENG	1.000000
OE-IPS/H-21 12Y+6Y+LDG		78-120-01-01	1	MECH-ENG	0.100000
OE-IPS/H-21 12Y+6Y+LDG		78-120-02-01	1	MECH-ENG	0.100000
OE-IPS/H-21 12Y+6Y+LDG		79-010-01-01	1	MECH-ENG	1.000000
OE-IPS/H-21 12Y+6Y+LDG		79-010-01-01	2	MECH-ENG	0.500000
OE-IPS/H-21 12Y+6Y+LDG		79-010-02-01	1	MECH-ENG	1.000000
OE-IPS/H-21 12Y+6Y+LDG		79-010-02-01	2	MECH-ENG	0.500000
OE-IPS/H-21 12Y+6Y+LDG		79-040-01-01	1	MECH-ENG	1.000000
OE-IPS/H-21 12Y+6Y+LDG		79-040-01-01	2	MECH-ENG	0.500000
OE-IPS/H-21 12Y+6Y+LDG		79-040-02-01	1	MECH-ENG	1.000000
OE-IPS/H-21 12Y+6Y+LDG		79-040-02-01	2	MECH-ENG	0.500000
OE-IPS/H-21 12Y+6Y+LDG		80-010-01-01	1	MECH-ENG	0.500000
OE-IPS/H-21 12Y+6Y+LDG		80-010-02-01	1	MECH-ENG	0.500000
OE-IPS/H-21 12Y+6Y+LDG	5570626		1	RUNH	0.500000
OE-IPS/H-21 12Y+6Y+LDG	5570626		2	RUNH	0.500000
OE-IPS/H-21 12Y+6Y+LDG	5570626		2	MECH	0.500000
OE-IPS/H-21 12Y+6Y+LDG	5570626		3	RUNH	0.083333
OE-IPS/H-21 12Y+6Y+LDG	5570628		1	AVIO	0.000000
OE-IPS/H-21 12Y+6Y+LDG	5570628		1	AVIO	48.200000
OE-IPS/H-21 12Y+6Y+LDG	5570628		2	AVIO	0.000000
OE-IPS/H-21 12Y+6Y+LDG	5570628		2	AVIO	58.900000
OE-IPS/H-21 12Y+6Y+LDG	5570639		1	MECH-ENG	0.000000
OE-IPS/H-21 12Y+6Y+LDG	5570639		1	MECH-ENG	165.866666
OE-IPS/H-21 12Y+6Y+LDG	5570639		2	MECH-ENG	0.000000
OE-IPS/H-21 12Y+6Y+LDG	5570639		2	MECH-ENG	202.733333
OE-IPS/H-21 12Y+6Y+LDG	5570640		1	MECH-EXT	0.000000
OE-IPS/H-21 12Y+6Y+LDG	5570640		1	MECH-EXT	140.983333
OE-IPS/H-21 12Y+6Y+LDG	5570640		2	MECH-EXT	0.000000
OE-IPS/H-21 12Y+6Y+LDG	5570640		2	MECH-EXT	172.316666
OE-IPS/H-21 12Y+6Y+LDG	5570648		1	MECH-INT	0.000000
OE-IPS/H-21 12Y+6Y+LDG	5570648		1	MECH-INT	418.733333
OE-IPS/H-21 12Y+6Y+LDG	5570648		2	MECH-INT	0.000000
OE-IPS/H-21 12Y+6Y+LDG	5570648		2	MECH-INT	511.783333
OE-IPS/H-21 12Y+6Y+LDG	5570649		1	MECH-LDG	0.000000
OE-IPS/H-21 12Y+6Y+LDG	5570649		1	MECH-LDG	30.866666
OE-IPS/H-21 12Y+6Y+LDG	5570649		2	MECH-LDG	0.000000
OE-IPS/H-21 12Y+6Y+LDG	5570649		2	MECH-LDG	37.733333
OE-IPS/H-21 12Y+6Y+LDG	5570652		1	MECH-ENG	5.000000
OE-IPS/H-21 12Y+6Y+LDG	5570652		2	MECH-ENG	5.000000
OE-IPS/H-21 12Y+6Y+LDG	5570653		1	WASH	0.000000
OE-IPS/H-21 12Y+6Y+LDG	5570654		1	MECH-ENG	1.000000
OE-IPS/H-21 12Y+6Y+LDG	5570654		1	MECH-LDG	0.500000
OE-IPS/H-21 12Y+6Y+LDG	5570656		1	WASH	0.000000
OE-IPS/H-21 12Y+6Y+LDG	5570657		1	WASH	0.000000
OE-IPS/H-21 12Y+6Y+LDG	5570658		1	ADM	0.016666
OE-IPS/H-21 12Y+6Y+LDG	5570658		2	ADM	0.016666
OE-IPS/H-21 12Y+6Y+LDG	5570658		3	ADM	0.016666
OE-IPS/H-21 12Y+6Y+LDG		20-110-01-01	1	AVIO	3.000000
OE-IPS/H-21 12Y+6Y+LDG		20-110-02-01	1	AVIO	3.000000
OE-IPS/H-21 12Y+6Y+LDG		20-290-00-01	1	MECH-LDG	1.500000
OE-IPS/H-21 12Y+6Y+LDG		20-300-00-01	1	MECH-LDG	1.500000
OE-IPS/H-21 12Y+6Y+LDG		20-300-00-01	2	MECH-INT	0.016666
OE-IPS/H-21 12Y+6Y+LDG		20-305-00-01	1	AVIO	1.000000
OE-IPS/H-21 12Y+6Y+LDG		20-305-00-01	2	MECH-INT	0.016666
OE-IPS/H-21 12Y+6Y+LDG		20-310-00-01	1	MECH-INT	2.000000
OE-IPS/H-21 12Y+6Y+LDG		20-320-00-01	1	AVIO	1.000000
OE-IPS/H-21 12Y+6Y+LDG		20-325-00-01	1	AVIO	1.500000
OE-IPS/H-21 12Y+6Y+LDG		20-330-00-01	1	MECH-INT	3.000000
OE-IPS/H-21 12Y+6Y+LDG		20-335-00-01	1	AVIO	2.000000
OE-IPS/H-21 12Y+6Y+LDG		20-340-00-01	1	MECH-INT	2.000000
OE-IPS/H-21 12Y+6Y+LDG		20-350-00-01	1	MECH-INT	2.000000
OE-IPS/H-21 12Y+6Y+LDG		20-360-00-01	1	AVIO	2.000000
OE-IPS/H-21 12Y+6Y+LDG		20-370-00-01	1	MECH-INT	2.000000
OE-IPS/H-21 12Y+6Y+LDG		20-375-00-01	1	AVIO	2.000000
OE-IPS/H-21 12Y+6Y+LDG		20-380-00-01	1	MECH-INT	2.000000
OE-IPS/H-21 12Y+6Y+LDG		20-390-00-01	1	MECH-INT	2.000000
OE-IPS/H-21 12Y+6Y+LDG		20-400-00-01	1	MECH-INT	2.000000
OE-IPS/H-21 12Y+6Y+LDG		20-410-00-01	1	AVIO	2.000000
OE-IPS/H-21 12Y+6Y+LDG		20-415-00-01	1	AVIO	3.200000
OE-IPS/H-21 12Y+6Y+LDG		20-420-00-01	1	MECH-INT	3.200000
OE-IPS/H-21 12Y+6Y+LDG		20-430-00-01	1	MECH-INT	4.800000
OE-IPS/H-21 12Y+6Y+LDG		20-440-00-01	1	MECH-INT	3.166666
OE-IPS/H-21 12Y+6Y+LDG		20-440-00-01	2	MECH-INT	1.583333
OE-IPS/H-21 12Y+6Y+LDG		20-450-00-01	1	AVIO	0.500000
OE-IPS/H-21 12Y+6Y+LDG		20-460-00-01	1	MECH-ENG	0.500000
OE-IPS/H-21 12Y+6Y+LDG		20-465-00-01	1	AVIO	1.000000
OE-IPS/H-21 12Y+6Y+LDG		20-470-00-01	1	AVIO	0.500000
OE-IPS/H-21 12Y+6Y+LDG		20-480-00-01	1	AVIO	0.500000
OE-IPS/H-21 12Y+6Y+LDG		20-490-00-01	1	MECH-ENG	0.500000
OE-IPS/H-21 12Y+6Y+LDG		20-500-00-01	1	MECH-ENG	0.500000
OE-IPS/H-21 12Y+6Y+LDG		20-510-00-01	1	MECH-ENG	0.500000
OE-IPS/H-21 12Y+6Y+LDG		20-520-00-01	1	MECH-ENG	0.500000
