WP	WO	TC	sequence	scope	est-min
OH-LZK/H-21 C04	5567421		1	SHM	25.000000
OH-LZK/H-21 C04	5567423		1	SHM	25.000000
OH-LZK/H-21 C04	5567423		1	MECH-ENG	10.000000
OH-LZK/H-21 C04	5567432		1	SHM	1.500000
OH-LZK/H-21 C04	5567433		1	SHM	1.500000
OH-LZK/H-21 C04	5567434		1	SHM	2.000000
OH-LZK/H-21 C04	5567763		1	SHM	2.000000
OH-LZK/H-21 C04	5569841		1	MECH-ENG	2.000000
OH-LZK/H-21 C04	5569841		2	MECH-ENG	1.000000
OH-LZK/H-21 C04	5569841		3	MECH-ENG	1.000000
OH-LZK/H-21 C04	5569844		1	CHEM	1.500000
OH-LZK/H-21 C04	5569849		1	MECH-ENG	6.000000
OH-LZK/H-21 C04	5569852		1	MECH-ENG	12.000000
OH-LZK/H-21 C04	5569852		3	MECH-ENG	4.000000
OH-LZK/H-21 C04	5569860		1	SHM	10.000000
OH-LZK/H-21 C04	5569860		2	MECH-INT	1.500000
OH-LZK/H-21 C04	5569861		1	SHM	6.000000
OH-LZK/H-21 C04	5569862		1	SHM	6.000000
OH-LZK/H-21 C04	5569863		1	SHM	6.000000
OH-LZK/H-21 C04	5569866		1	SHM	2.000000
OH-LZK/H-21 C04	5569869		1	MECH-INT	1.000000
OH-LZK/H-21 C04	5570700		1	MECH-ENG	3.000000
OH-LZK/H-21 C04	5570705		1	MECH-ENG	1.000000
OH-LZK/H-21 C04	5570705		2	MECH-ENG	4.000000
OH-LZK/H-21 C04	5570727		1	UPH	0.500000
OH-LZK/H-21 C04	5570769		1	MECH-LDG	2.000000
OH-LZK/H-21 C04	5570769		2	MECH-LDG	2.000000
OH-LZK/H-21 C04	5570769		3	MECH-LDG	2.000000
OH-LZK/H-21 C04	5570782		1	MECH-LDG	1.000000
OH-LZK/H-21 C04	5570789		1	MECH-LDG	1.000000
OH-LZK/H-21 C04	5570807		1	MECH	4.000000
OH-LZK/H-21 C04	5570807		2	MECH	0.500000
OH-LZK/H-21 C04	5570808		1	MECH-ENG	2.000000
OH-LZK/H-21 C04	5570812		1	MECH-ENG	1.000000
OH-LZK/H-21 C04	5570812		2	MECH-ENG	1.000000
OH-LZK/H-21 C04	5570892		1	MECH-EXT	3.000000
OH-LZK/H-21 C04	5570892		1	MECH-EXT	2.000000
OH-LZK/H-21 C04	5569889		1	MECH-INT	0.666666
OH-LZK/H-21 C04	5569889		2	MECH-INT	0.166666
OH-LZK/H-21 C04	5569889		3	MECH-INT	1.333333
OH-LZK/H-21 C04	5569889		4	MECH-INT	0.500000
OH-LZK/H-21 C04	5569921		1	MECH-EXT	2.000000
OH-LZK/H-21 C04	5569960		1	MECH	3.000000
OH-LZK/H-21 C04	5569960		1	ENG	3.000000
OH-LZK/H-21 C04	5569972		1	SHM	6.000000
OH-LZK/H-21 C04	5569970		1	MECH-LDG	2.500000
OH-LZK/H-21 C04		ZL-833-05-1	1	AVIO	2.033333
OH-LZK/H-21 C04		335100-001	1	MECH-INT	3.000000
OH-LZK/H-21 C04	5547714		1	MECH-INT	1.500000
OH-LZK/H-21 C04		712111-06-1 A	1	MECH-ENG	0.833333
OH-LZK/H-21 C04		712112-02-1 A	1	MECH-ENG	0.833333
OH-LZK/H-21 C04		712211-04-1 A	1	MECH-ENG	0.833333
OH-LZK/H-21 C04		712211-06-1 A	1	MECH-ENG	0.833333
OH-LZK/H-21 C04		712212-02-1 A	1	MECH-ENG	0.833333
OH-LZK/H-21 C04		712213-02-1 A	1	MECH-ENG	0.833333
OH-LZK/H-21 C04		302100-I3-1 A	1	MECH-ENG	2.366666
OH-LZK/H-21 C04		262100-04-2 A	1	MECH-ENG	0.833333
OH-LZK/H-21 C04		711300-03-1 A	1	MECH-ENG	0.833333
OH-LZK/H-21 C04		711300-I4-1 A	1	MECH-ENG	0.833333
OH-LZK/H-21 C04		ZL-437-01-2 A	1	MECH-ENG	0.833333
OH-LZK/H-21 C04		302149-I2-1 A	1	MECH-ENG	2.716666
OH-LZK/H-21 C04	5547757		1	MECH-ENG	0.833333
OH-LZK/H-21 C04	5489407		1	MECH-EXT	10.000000
OH-LZK/H-21 C04	5489407		2	MECH-LDG	6.000000
OH-LZK/H-21 C04	5489407		2	MECH-EXT	5.000000
OH-LZK/H-21 C04	5489407		3	PAINT	3.000000
OH-LZK/H-21 C04	5546213		1	MECH-INT	49.000000
OH-LZK/H-21 C04	5546214		1	AVIO	4.000000
OH-LZK/H-21 C04	5546216		1	MECH-ENG	4.500000
OH-LZK/H-21 C04	5546217		1	MECH-LDG	3.000000
OH-LZK/H-21 C04	5546218		1	MECH-LDG	3.000000
OH-LZK/H-21 C04	5546219		1	MECH-LDG	3.000000
OH-LZK/H-21 C04	5546221		1	AVIO	8.000000
OH-LZK/H-21 C04	5546222		1	AVIO	3.000000
OH-LZK/H-21 C04	5546225		1	AVIO	0.500000
OH-LZK/H-21 C04	5546353		1	MECH-ENG	2.000000
OH-LZK/H-21 C04	5546354		1	MECH-ENG	5.500000
OH-LZK/H-21 C04	5546354		1	SHM	33.000000
OH-LZK/H-21 C04	5546355		1	MECH-INT	2.000000
OH-LZK/H-21 C04	5546356		1	MECH-EXT	6.500000
OH-LZK/H-21 C04	5546356		1	NDT	0.500000
OH-LZK/H-21 C04	5546356		1	SHM	17.500000
OH-LZK/H-21 C04	5546357		1	AVIO	0.500000
OH-LZK/H-21 C04	5547758		1	MECH-ENG	0.833333
OH-LZK/H-21 C04	5547760		1	MECH-ENG	0.750000
OH-LZK/H-21 C04	5547711		1	AVIO	0.500000
OH-LZK/H-21 C04	5547741		1	AVIO	2.000000
OH-LZK/H-21 C04	5547742		1	MECH-ENG	0.133333
OH-LZK/H-21 C04	5547743		1	MECH-ENG	0.133333
OH-LZK/H-21 C04	5547744		1	AVIO	0.500000
OH-LZK/H-21 C04	5547745		1	MECH-EXT	1.750000
OH-LZK/H-21 C04	5547747		1	AVIO	6.000000
OH-LZK/H-21 C04	5547750		1	AVIO	0.750000
OH-LZK/H-21 C04	5547789		1	AVIO	0.750000
OH-LZK/H-21 C04	5547791		1	MECH-ENG	0.750000
OH-LZK/H-21 C04	5547793		1	MECH-ENG	0.833333
OH-LZK/H-21 C04	5547794		1	MECH-ENG	0.833333
OH-LZK/H-21 C04	5547795		1	MECH-ENG	0.666666
OH-LZK/H-21 C04	5547796		1	MECH-ENG	0.833333
OH-LZK/H-21 C04	5547797		1	MECH-ENG	0.833333
OH-LZK/H-21 C04	5547802		1	MECH-ENG	0.666666
OH-LZK/H-21 C04	5547803		1	MECH-ENG	0.666666
OH-LZK/H-21 C04	5547804		1	MECH-ENG	0.666666
OH-LZK/H-21 C04	5547805		1	MECH-ENG	0.500000
OH-LZK/H-21 C04	5547806		1	MECH-ENG	0.500000
OH-LZK/H-21 C04	5547807		1	MECH-ENG	2.000000
OH-LZK/H-21 C04	5547808		1	MECH-ENG	2.000000
OH-LZK/H-21 C04	5547893		1	MECH-EXT	2.000000
OH-LZK/H-21 C04	5547893		1	SHM	3.000000
OH-LZK/H-21 C04	5547893		2	MECH-EXT	20.000000
OH-LZK/H-21 C04	5547896		1	MECH-ENG	45.000000
OH-LZK/H-21 C04		712211-04-1	1	MECH-ENG	0.833333
OH-LZK/H-21 C04		237135-02-1	1	AVIO	0.600000
OH-LZK/H-21 C04		254000-02-2	1	MECH-INT	1.000000
OH-LZK/H-21 C04		255000-01-1	1	MECH-INT	1.350000
OH-LZK/H-21 C04		256551-01-1	1	MECH-INT	0.666666
OH-LZK/H-21 C04		262200-06-1	1	AVIO	0.800000
OH-LZK/H-21 C04		262300-09-1	1	MECH-INT	0.833333
OH-LZK/H-21 C04		274451-11-1	1	MECH-EXT	2.000000
OH-LZK/H-21 C04		282800-01-1	1	MECH-EXT	0.833333
OH-LZK/H-21 C04		282800-03-1	1	MECH-EXT	0.833333
OH-LZK/H-21 C04		291000-20-1	1	MECH-LDG	0.850000
OH-LZK/H-21 C04		291000-15-1	1	MECH-LDG	3.200000
OH-LZK/H-21 C04		323000-01-1	1	MECH-LDG	1.000000
OH-LZK/H-21 C04		323000-17-1	1	MECH-LDG	0.833333
OH-LZK/H-21 C04		324411-01-1	1	MECH-LDG	0.600000
OH-LZK/H-21 C04		335100-03-1	1	AVIO	2.500000
OH-LZK/H-21 C04		344200-03-1	1	AVIO	0.500000
OH-LZK/H-21 C04		351351-01-1	1	AVIO	0.533333
OH-LZK/H-21 C04		353000-05-1	1	MECH-INT	0.550000
OH-LZK/H-21 C04		353000-06-1	1	MECH-INT	0.800000
OH-LZK/H-21 C04		383100-06-1	1	MECH-INT	1.000000
OH-LZK/H-21 C04		535900-01-1	1	MECH-EXT	0.500000
OH-LZK/H-21 C04		561000-01-1	1	MECH-INT	1.500000
OH-LZK/H-21 C04		ZL-100-02-1	1	SHM	0.800000
OH-LZK/H-21 C04		200121-01-1	1	MECH-INT	2.083333
OH-LZK/H-21 C04		252200-01-1	1	MECH-INT	1.333333
OH-LZK/H-21 C04		262300-05-1	1	MECH-INT	0.833333
